|building_address_city|List_Date|Close_Date|days_on_market|Sale_Price|Sq_Ft|price_per_sqft|Agent|Buyer_Agent|geo_address|building_name|address_only|loc|point|lat|lon|altitude|Sale_Price_int|price_per_sqft_int|year
29|Grovenor House Condo 2627 S Bayshore Dr 2603 Miami|10/7/2021|12/17/2021|53|$2,950,000.00|2640|$1,117.42|Judith Zeder|Ileana De La Torre|Grovenor House Condo 2627 S Bayshore Dr 2603 Miami|Grovenor House Condo |2627 S Bayshore Dr 2603 Miami|2627 S Bayshore Dr, Coconut Grove, FL 33133, USA|(25.7322258, -80.2349194, 0.0)|25.7322258|-80.2349194|0.0|2950000.0|1117.42|2021
30|Palazzo Del Mare 7192 Fisher Island Dr 7192 Miami Beach|2/4/2021|12/20/2021|273|$15,900,000.00|7025|$2,263.35|Dora Puig|Elena Bluntzer|Palazzo Del Mare 7192 Fisher Island Dr 7192 Miami Beach|Palazzo Del Mare |7192 Fisher Island Dr 7192 Miami Beach|7192 Fisher Island Dr, Miami Beach, FL 33109, USA|(25.762737, -80.13597, 0.0)|25.762737|-80.13597|0.0|15900000.0|2263.35|2021
31|Ocean House 125 Ocean Dr U-0401 Miami Beach|11/5/2021|12/23/2021|40|$12,000,000.00|4068|$2,949.85|Pedro Velasco|Christopher Jude|Ocean House 125 Ocean Dr U-0401 Miami Beach|Ocean House |125 Ocean Dr U-0401 Miami Beach|125 Ocean Dr u0401, Miami Beach, FL 33139, USA|(25.7700546, -80.1325729, 0.0)|25.7700546|-80.1325729|0.0|12000000.0|2949.85|2021
32|Murano at Portofino 1000 S Pointe Dr 2801 Miami Beach|11/22/2021|12/21/2021|17|$8,900,000.00|3365|$2,644.87|Stacy Robins|Roland Ortiz|Murano at Portofino 1000 S Pointe Dr 2801 Miami Beach|Murano at Portofino |1000 S Pointe Dr 2801 Miami Beach|1000 South Pointe Dr, Miami Beach, FL 33139, USA|(25.7683443, -80.1373909, 0.0)|25.7683443|-80.1373909|0.0|8900000.0|2644.87|2021
33|Asia Condominium 900 Brickell Key Blvd PH4 Miami|4/3/2021|12/24/2021|251|$7,760,000.00|5359|$1,448.03|Russell Brooke|Tatiana Zarubina|Asia Condominium 900 Brickell Key Blvd PH4 Miami|Asia Condominium |900 Brickell Key Blvd PH4 Miami|900 Brickell Key Blvd PH 4, Miami, FL 33131, USA|(25.769334, -80.1858065, 0.0)|25.769334|-80.1858065|0.0|7760000.0|1448.03|2021
34|Ritz Carlton Sunny Isles 15701 Collins Ave 4105 Sunny Isles Beach|8/17/2021|12/20/2021|119|$6,250,000.00|3204|$1,950.69|Karen Reiter PA|Diana Garchitorena|Ritz Carlton Sunny Isles 15701 Collins Ave 4105 Sunny Isles Beach|Ritz Carlton Sunny Isles |15701 Collins Ave 4105 Sunny Isles Beach|15701 Collins Ave Suite 4401, Sunny Isles Beach, FL 33160, USA|(25.9220815, -80.1219976, 0.0)|25.9220815|-80.1219976|0.0|6250000.0|1950.69|2021
35|Fisher Island 19241 Fisher Island Dr 19241 Miami Beach|2/27/2021|12/23/2021|265|$3,925,000.00|2916|$1,346.02|Lazaro Rivero|Julian Johnston|Fisher Island 19241 Fisher Island Dr 19241 Miami Beach|Fisher Island |19241 Fisher Island Dr 19241 Miami Beach|19241 Fisher Island Dr, Miami Beach, FL 33109, USA|(25.7577288, -80.1386049, 0.0)|25.7577288|-80.1386049|0.0|3925000.0|1346.02|2021
36|Continuum South 100 S Pointe Dr 1405 Miami Beach|9/28/2021|12/22/2021|45|$3,800,000.00|1869|$2,033.17|Rebecca Feigen|Michael Martirena|Continuum South 100 S Pointe Dr 1405 Miami Beach|Continuum South |100 S Pointe Dr 1405 Miami Beach|100 South Pointe Dr, Miami Beach, FL 33139, USA|(25.7679055, -80.1330134, 0.0)|25.7679055|-80.1330134|0.0|3800000.0|2033.17|2021
37|Portofino Tower 300 S Pointe Dr 1403 Miami Beach|10/7/2021|12/20/2021|60|$2,850,000.00|2340|$1,217.95|Christian Brandl|Silvia Alvarez|Portofino Tower 300 S Pointe Dr 1403 Miami Beach|Portofino Tower |300 S Pointe Dr 1403 Miami Beach|300 South Pointe Dr, Miami Beach, FL 33139, USA|(25.7677055, -80.1348768, 0.0)|25.7677055|-80.1348768|0.0|2850000.0|1217.95|2021
38|Il Villagio 1455 Ocean Dr 704 Miami Beach|5/26/2021|12/20/2021|187|$2,150,000.00|1660|$1,295.18|Ines Flax|Jean-Louis Delbeke|Il Villagio 1455 Ocean Dr 704 Miami Beach|Il Villagio |1455 Ocean Dr 704 Miami Beach|1455 Ocean Dr, Miami Beach, FL 33139, USA|(25.7870529, -80.1291008, 0.0)|25.7870529|-80.1291008|0.0|2150000.0|1295.18|2021
